Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
proactiv contact number,55,55,90,20,1.42,https://proactivwellnesscenters.com/contact-us/,0,0,0.00,0.13,696000,"[28,28,23,12,17,17,17,35,28,28,35,23]",2026-02-05,"Featured snippet, People also ask, Related searches",informational,Organic
mold testing gaithersburg,64,64,30,4,20.09,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/gaithersburg/,0,0,0.00,0.29,171000,"[18,100,63,36,0,0,18,18,0,9,18,36]",2026-02-08,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
weight loss help near me,33,33,590,50,8.56,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.27,1720000000,"[20,36,45,76,76,36,36,55,55,55,20,55]",2026-01-31,"Local pack, Video, Ads bottom, People also ask, Related searches",transactional,Organic
weight loss help near me,57,57,590,50,8.56,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.27,1720000000,"[20,36,45,76,76,36,36,55,55,55,20,55]",2026-01-31,"Local pack, Video, Ads bottom, People also ask, Related searches",transactional,Organic
weight loss rehab facilities,61,61,70,9,0.00,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.07,250000000,"[18,100,100,100,100,100,81,18,18,18,18,18]",2026-01-17,"Local pack, People also ask",commercial,Organic
weight loss arlington,45,45,30,6,7.16,https://proactivwellnesscenters.com/medical-weight-loss/arlington/,0,0,0.00,0.79,10100000,"[28,28,28,28,28,100,100,14,42,57,71,42]",2026-01-20,"Local pack, Sitelinks, People also ask, Related searches",commercial,Organic
mold remediation mclean va,39,39,40,7,0.00,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/mclean/,0,0,0.00,0.61,50200,"[11,11,11,11,11,11,11,41,41,64,23,52]",2026-01-24,"Knowledge panel, Image, People also ask, Related searches, AI overview",informational,Organic
front load washers and mold issues,35,35,90,17,0.69,https://proactivwellnesscenters.com/anti-aging/cirs-mold-exposure-from-front-loading-washing-machines/,0,0,0.00,0.19,902000,"[64,64,50,64,50,100,78,64,64,64,64,78]",2026-02-05,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
leaky gut syndrome test,81,81,140,15,0.00,https://proactivwellnesscenters.com/intestinal-permeability-leaky-gut-diagnosis-and-treatment/,0,0,0.00,0,4060000,"[20,0,5,5,8,8,13,10,16,16,6,1]",2026-01-03,"Sitelinks, Image, Related searches, Discussions and forums, AI overview",informational,Organic
heal leaky gut fast,1,1,40,39,0.60,https://proactivwellnesscenters.com/intestinal-permeability-leaky-gut-diagnosis-and-treatment/,0,0,0.00,1,1350000,"[14,21,21,28,28,28,28,64,64,14,14,14]",2026-01-20,"Image, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
fake mold,1,1,70,24,0.36,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/alexandria/,0,0,0.00,0.56,43500000,"[50,50,50,50,50,50,50,64,50,64,35,50]",2026-01-15,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",informational,People also ask
mthfr c677t and a1298c compound heterozygous treatment,33,33,140,27,0.71,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.05,14300,"[52,52,52,52,52,66,66,66,80,80,100,100]",2026-02-08,"Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
mthfr c677t and a1298c compound heterozygous treatment,45,45,140,27,0.71,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.05,14300,"[52,52,52,52,52,66,66,66,80,80,100,100]",2026-02-08,"Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
mthfr c677t and a1298c compound heterozygous treatment,58,58,140,27,0.71,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.05,14300,"[52,52,52,52,52,66,66,66,80,80,100,100]",2026-02-08,"Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
mthfr c677t and a1298c compound heterozygous treatment,60,60,140,27,0.71,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.05,14300,"[52,52,52,52,52,66,66,66,80,80,100,100]",2026-02-08,"Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
cheapest trt clinics near me,60,60,70,53,0.00,https://proactivwellnesscenters.com/trt/altoona/,0,0,0.00,0,1050000,"[55,100,77]",2026-01-24,"Local pack, Sitelinks, People also ask, Related searches, AI overview",transactional,Organic
benefits for fruits,72,72,590,30,0.04,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.05,597000000,"[0,0,0,55,100,65,0,0,0,0,0,0]",2026-01-30,"Image pack, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
trt clinics that accept insurance near me,43,43,90,38,0.00,https://proactivwellnesscenters.com/trt/martinsburg/,0,0,0.00,0,646000,"[52,11,23,41,29,17,64,52,64,82,82,82]",2026-01-06,"Local pack, Video, People also ask, Related searches",transactional,Organic
weight loss clinic logan wv,63,63,30,0,7.46,https://proactivwellnesscenters.com/medical-weight-loss/charles-town/,0,0,0.00,0.5,897000,"[18,18,18,100,18,18,18,18,18,18,18,18]",2026-02-08,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
weight loss clinic logan wv,98,98,30,0,7.46,https://proactivwellnesscenters.com/medical-weight-loss/morgantown/,0,0,0.00,0.5,897000,"[18,18,18,100,18,18,18,18,18,18,18,18]",2026-02-08,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
leaky gut medical treatment,45,45,40,58,1.09,https://proactivwellnesscenters.com/intestinal-permeability-leaky-gut-diagnosis-and-treatment/,0,0,0.00,0.78,1010000,"[18,18,18,18,18,100,100,100,18,18,18,18]",2026-02-10,"Sitelinks, Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
what nutrients does fruit provide,28,28,70,74,0.00,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0,144000000,"[11,15,34,53,42,26,0,0,7,34,34,26]",2026-01-30,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
isocort,19,19,30,0,2.07,https://stores.proactivwellnesscenters.com/Isocort_p_335.html,0,0,0.00,1,4690,"[29,11,11,11,11,11,11,41,41,17,23,11]",2025-12-19,"Image pack, Related searches",informational,Organic
best weight loss near me,20,20,90,22,8.62,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.75,3190000000,"[29,64,41,64,52,52,64,52,52,64,64,29]",2026-02-01,"Local pack, People also ask, Related searches",transactional,Organic
weight loss providers near me,52,52,210,49,12.28,https://proactivwellnesscenters.com/medical-weight-loss/arlington/,0,0,0.00,0.87,695000000,"[53,53,65,53,100,81,53,53,53,65,53,43]",2026-01-15,"Local pack, Ads bottom, People also ask, Related searches",transactional,Organic
basement mold cleanup dc metro,84,84,40,0,0.00,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/washington/,0,0,0.00,0,463000,"[52,100,0,0,0,0]",2026-01-22,"Local pack, Sitelinks, Video, People also ask, Related searches, AI overview",commercial,Organic
mold remediation service prince william county,86,86,40,3,0.00,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/linton-hall/,0,0,0.00,0,610000,"[71,71,28,14,42,42,28,28,100,100,100,100]",2026-01-11,"Local pack, People also ask, Related searches, AI overview",commercial,Organic
fat doctor near me,29,29,170,41,7.12,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.81,1240000000,"[28,35,28,23,23,28,23,35,28,23,23,23]",2026-01-26,"Local pack, Ads bottom, Related searches","informational, transactional",Organic
fat doctor near me,49,49,170,41,7.12,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.81,1240000000,"[28,35,28,23,23,28,23,35,28,23,23,23]",2026-01-26,"Local pack, Ads bottom, Related searches","informational, transactional",Organic
edgewood weight loss center,58,58,40,18,0.00,https://proactivwellnesscenters.com/medical-weight-loss/washington/,0,0,0.00,0.38,297000,"[100,45,45,45,18,18,18,18,18,18,18,18]",2026-02-01,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
edgewood weight loss center,61,61,40,18,0.00,https://proactivwellnesscenters.com/medical-weight-loss/washington/,0,0,0.00,0.38,297000,"[100,45,45,45,18,18,18,18,18,18,18,18]",2026-02-01,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
benefit of fruits,59,59,90,55,0.04,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.03,363000000,"[0,6,81,100,8,0,4,0,2,6,4,2]",2025-12-25,"Image pack, Video, Related searches, AI overview",informational,Organic
proactiv account cancellation,38,38,50,11,0.00,https://proactivwellnesscenters.com/contact-us/epatientportal/,0,0,0.00,0.03,96300,"[50,35,35,21,35,50,50,28,50,50,50,50]",2026-01-26,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
sonic restaurant woodbridge va,24,24,50,15,0.00,https://proactivwellnesscenters.com/bredesen-protocol-alzheimers-treatment/woodbridge/,0,0,0.00,0.09,58600,"[27,45,45,63,27,63,63,63,45,45,45,36]",2025-12-23,"Knowledge panel, Sitelinks, Video, Image, Related searches, AI overview",commercial,Organic
testosterone therapy hunt valley,62,62,40,,0.00,https://proactivwellnesscenters.com/trt/germantown/,0,0,0.00,0,229000,"[100,57,28]",2026-01-08,"Local pack, Video, Related searches",commercial,Organic
mold inspection northern virginia,42,42,40,,0.00,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/fairfax/,0,0,0.00,0,527000,"[11,29,11,11,23,11,0,11,100,64,11,0]",2025-12-27,"Local pack, Video, Related searches",commercial,Organic
chevys nutrition guide,78,78,90,10,0.00,https://proactivwellnesscenters.com/medical-weight-loss/chevy-chase/,0,0,0.00,0,869000,"[42,42,52,19,42,100,66,42,33,33,52,33]",2026-01-20,"Sitelinks, Video, Related searches, AI overview","navigational, transactional",Organic
chevys nutrition guide,82,82,90,10,0.00,https://proactivwellnesscenters.com/medical-weight-loss/chevy-chase/,0,0,0.00,0,869000,"[42,42,52,19,42,100,66,42,33,33,52,33]",2026-01-20,"Sitelinks, Video, Related searches, AI overview","navigational, transactional",Organic
ozempic pittsburgh,74,74,30,0,12.28,https://proactivwellnesscenters.com/medical-weight-loss/pittsburgh/,0,0,0.00,0.62,647000,"[14,19,19,9,9,14,23,19,14,9,9,9]",2026-01-03,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
modern health co testosterone,89,89,30,1,4.26,https://proactivwellnesscenters.com/trt/bethesda/,0,0,0.00,1,3130000,"[100,18,18,18,18,18,18,18,18,18,18,18]",2026-02-10,"Video, People also ask, Related searches, AI overview",informational,Organic
weight loss clinic hagerstown md,13,13,50,3,8.39,https://proactivwellnesscenters.com/medical-weight-loss/hagerstown/,0,0,0.00,0.75,571000,"[29,29,41,41,41,29,41,23,17,41,17,11]",2026-02-01,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
weight loss clinic hagerstown md,46,46,50,3,8.39,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/hagerstown/,0,0,0.00,0.75,571000,"[29,29,41,41,41,29,41,23,17,41,17,11]",2026-02-01,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
weight loss dr near me,63,63,2900,39,10.16,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.75,1580000000,"[10,7,3,13,7,16,29,24,5,19,16,16]",2026-02-14,"Local pack, Sitelinks, People also ask, Related searches, AI overview",transactional,Organic
mildew front loading washing machine,60,60,50,34,0.57,https://proactivwellnesscenters.com/anti-aging/cirs-mold-exposure-from-front-loading-washing-machines/,0,0,0.00,0.63,1030000,"[45,9,63,63,9,100,63,100,81,9,63,45]",2026-02-17,"Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
mildew front loading washing machine,91,91,50,34,0.57,https://proactivwellnesscenters.com/anti-aging/cirs-mold-exposure-from-front-loading-washing-machines/,0,0,0.00,0.63,1030000,"[45,9,63,63,9,100,63,100,81,9,63,45]",2026-02-17,"Sitelinks, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
clinics for weight loss near me,34,34,50,22,8.63,https://proactivwellnesscenters.com/medical-weight-loss/arlington/,0,0,0.00,0.63,186000000,"[0,9,36,45,45,36,36,45,100,100,63,63]",2026-01-05,"Local pack, Related searches",transactional,Organic
local bhrt charleston sc,73,73,50,9,0.00,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/chantilly/,0,0,0.00,0,2010,"[22,77,77,55,100]",2026-01-01,"Local pack, Sitelinks, Video, Ads bottom, Related searches",commercial,Organic
weight loss clinic dc,29,29,50,33,9.14,https://proactivwellnesscenters.com/medical-weight-loss/washington/,0,0,0.00,0.79,77000000,"[42,66,23,33,9,9,9,9,19,33,42,33]",2026-01-15,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
what is optimal health,82,82,260,5,0.00,https://proactivwellnesscenters.com/five-rules-for-achieving-optimal-health/,0,0,0.00,0,774000000,"[19,19,66,44,23,29,19,19,15,66,44,29]",2025-12-29,"Related searches, See results about, AI overview",informational,Organic
princeton wv weight loss clinic,69,69,50,1,6.75,https://proactivwellnesscenters.com/medical-weight-loss/martinsburg/,0,0,0.00,0.63,630000,"[19,19,19,26,11,26,26,19,26,19,19,19]",2025-12-22,"Local pack, Sitelinks, Image, Related searches, AI overview",commercial,Organic
hagerstown heart in hagerstown md,85,85,590,26,1.77,https://proactivwellnesscenters.com/gainswave-therapy/hagerstown/,0,0,0.00,0.05,1340000,"[23,44,19,81,67,67,100,100,19,19,100,81]",2026-01-11,"Knowledge panel, Image pack, Image, People also ask, Related searches","informational, transactional",Organic
weight and wellness clinic,60,60,140,32,5.31,https://proactivwellnesscenters.com/medical-weight-loss/arlington/,0,0,0.00,0.36,435000000,"[52,52,52,52,52,66,66,66,100,80,66,66]",2026-01-13,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
testosterone centers,64,64,70,50,5.82,https://proactivwellnesscenters.com/trt/york/,0,0,0.00,0.4,34400000,"[17,12,17,17,17,12,17,12,12,17,12,28]",2025-12-25,"Local pack, Sitelinks, Image, Related searches",commercial,Organic
to achieve optimal health people practice,27,27,40,13,0.00,https://proactivwellnesscenters.com/five-rules-for-achieving-optimal-health/,0,0,0.00,0,215000000,"[11,100,11,11,11,11,11,11,64,11,11,0]",2026-02-11,"Video, People also ask, Related searches, Questions and answers, AI overview",informational,Organic
bioidentical hormone replacement in vienna va,10,10,110,2,0.00,https://proactivwellnesscenters.com/hormone-replacement/,0,0,0.00,0.16,8010,"[42,52,100,33,42,42,66,42,52,52,23,23]",2026-01-20,"Local pack, Video, Image, AI overview",commercial,Organic
bioidentical hormone replacement in vienna va,22,22,110,2,0.00,https://proactivwellnesscenters.com/,0,0,0.00,0.16,8010,"[42,52,100,33,42,42,66,42,52,52,23,23]",2026-01-20,"Local pack, Video, Image, AI overview",commercial,Organic
bioidentical hormone replacement in vienna va,38,38,110,2,0.00,https://proactivwellnesscenters.com/hormone-replacement/bioidentical-hormone-replacement-therapy-for-women/,0,0,0.00,0.16,8010,"[42,52,100,33,42,42,66,42,52,52,23,23]",2026-01-20,"Local pack, Video, Image, AI overview",commercial,Organic
is mold a parasite,86,86,40,46,0.00,https://proactivwellnesscenters.com/mold-illness-all-you-need-to-know/,0,0,0.00,0.33,6400000,"[23,23,41,11,23,11,11,11,11,11,41,64]",2026-02-18,"Image pack, Image, People also ask, Related searches",informational,Organic
ed therapy near me,54,54,170,20,0.00,https://proactivwellnesscenters.com/gainswave-therapy/frederick/,0,0,0.00,0,757000000,"[54,8,11,8,23,11,23,28,44,44,44,54]",2026-01-16,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",transactional,Organic
proactive medical weight management,12,12,70,25,0.00,https://proactivwellnesscenters.com/medical-weight-loss/bethesda/,0,0,0.00,0,31200000,"[100,100,81,100,100,81,100,0,0,0,0,0]",2026-01-01,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
proactive medical weight management,21,21,70,25,0.00,https://proactivwellnesscenters.com/medical-weight-loss/martinsburg/,0,0,0.00,0,31200000,"[100,100,81,100,100,81,100,0,0,0,0,0]",2026-01-01,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
proactive medical weight management,65,65,70,25,0.00,https://proactivwellnesscenters.com/medical-weight-loss/altoona/,0,0,0.00,0,31200000,"[100,100,81,100,100,81,100,0,0,0,0,0]",2026-01-01,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
weight loss programs in my area,53,53,210,57,6.70,https://proactivwellnesscenters.com/medical-weight-loss/arlington/,0,0,0.00,0.82,718000000,"[100,53,82,53,82,82,53,53,53,35,28,43]",2026-01-15,"Local pack, Ads bottom, People also ask, Related searches",commercial,Organic
what are the symptoms of mthfr mutation,31,31,70,27,0.07,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.2,406000,"[29,29,41,29,29,52,41,52,52,64,64,82]",2026-01-30,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
semaglutide west virginia,33,33,30,0,18.49,https://proactivwellnesscenters.com/medical-weight-loss/martinsburg/,0,0,0.00,0.58,831000,"[18,100,27,18,18,18,18,18,18,18,18,18]",2025-12-19,"Video, Image, People also ask, Related searches, AI overview",informational,Organic
mold inspection york pa,79,79,90,1,8.79,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/york/,0,0,0.00,1,723000,"[42,42,42,23,52,42,23,33,23,100,33,33]",2026-01-02,"Local pack, Sitelinks, Ads bottom, People also ask, Related searches",commercial,Organic
best medical weight loss washington dc,32,32,50,9,0.00,https://proactivwellnesscenters.com/medical-weight-loss/washington/,0,0,0.00,0,56900000,"[28,71,100]",2026-02-15,"Local pack, Image, Related searches, Discussions and forums",commercial,Organic
intravenous nutrient,47,47,70,54,2.60,https://proactivwellnesscenters.com/nutritional-supplements/iv-nutritional-therapies/,0,0,0.00,0.36,3290000,"[71,71,71,100,71,100,100,100,100,100,100,100]",2025-12-24,"Sitelinks, Video, Video Carousel, Popular products, Related searches, AI overview",informational,Organic
what do fruits do for your body,76,76,170,,0.00,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0,757000000,"[28,35,35,28,43,43,66,53,28,35,82,53]",2026-01-15,"Image pack, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
what do fruits do for your body,79,79,170,,0.00,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0,757000000,"[28,35,35,28,43,43,66,53,28,35,82,53]",2026-01-15,"Image pack, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
what is best form of exercise,50,50,70,83,0.55,https://proactivwellnesscenters.com/best-types-of-exercises-for-improved-health-and-weight-loss/,0,0,0.00,0.03,1240000000,"[64,64,64,78,64,100,100,64,64,0,0,0]",2026-02-08,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
resolve weight loss,65,65,40,26,4.64,https://proactivwellnesscenters.com/medical-weight-loss/pittsburgh/,0,0,0.00,0.69,428000000,"[36,45,63,63,63,45,18,18,18,18,18,18]",2026-01-02,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
resolve weight loss,68,68,40,26,4.64,https://proactivwellnesscenters.com/medical-weight-loss/pittsburgh/,0,0,0.00,0.69,428000000,"[36,45,63,63,63,45,18,18,18,18,18,18]",2026-01-02,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
pwc columbia,34,34,70,34,0.00,https://proactivwellnesscenters.com/,0,0,0.00,0.01,2090000,"[45,81,81,63,100,63,63,100,63,63,81,27]",2025-12-27,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",transactional,Organic
benefits of eating lots of fruit,79,79,40,61,0.00,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.01,493000000,"[18,18,18,18,18,18,18,100,100,18,18,18]",2025-12-30,"Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
adiponexin supplement,14,14,30,1,0.85,https://stores.proactivwellnesscenters.com/Adiponexin-120-capsules_p_1979.html,0,0,0.00,0.99,478,"[9,9,100,100,45,9,18,9,0,0,0,0]",2025-12-24,"Sitelinks, Video, People also ask, Related searches",informational,Organic
mold remediation manassas va,57,57,30,5,15.25,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/manassas/,0,0,0.00,0.95,19900,"[33,44,22,22,22,22,22,44,77,55,55,33]",2026-01-04,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
mold remediation manassas va,61,61,30,5,15.25,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/manassas/,0,0,0.00,0.95,19900,"[33,44,22,22,22,22,22,44,77,55,55,33]",2026-01-04,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
mold testing columbia md,46,46,50,5,20.75,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/columbia/,0,0,0.00,1,570000,"[77,55,44,55,100,55,77,44,77,77,44,100]",2025-12-23,"Local pack, Image, People also ask, Related searches",commercial,Organic
how to do mold remediation yourself,1,1,40,40,1.22,https://proactivwellnesscenters.com/cirs-mold-toxicity-treatment/alexandria/,0,0,0.00,0.6,2280000,"[19,19,23,14,9,19,23,19,23,9,9,19]",2026-01-15,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
how is cirs diagnosed,15,15,50,12,0.00,https://proactivwellnesscenters.com/hormone-replacement/cirs-mold-diagnosis-and-treatment-program/,0,0,0.00,0.03,266000,"[18,18,45,27,27,27,36,36,63,45,100,27]",2026-01-24,"Image, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
kavinase,89,89,30,7,2.02,https://stores.proactivwellnesscenters.com/Kavinace-OS-60-Capsules_p_839.html,0,0,0.00,1,5300,"[3,7,11,11,15,7,15,7,19,19,11,19]",2026-01-09,"Video, Image, Ads top, People also ask, Related searches, AI overview","commercial, informational",Organic
biotics research corporation adp,70,70,140,10,1.14,https://stores.proactivwellnesscenters.com/Biotics-Research-Corporation_c_33.html,0,0,0.00,1,5410,"[82,52,64,41,52,100,100,100,64,82,100,100]",2026-02-02,"Sitelinks, People also ask, Related searches","commercial, informational",Organic
mold related diseases,83,83,90,54,0.31,https://proactivwellnesscenters.com/mold-illness-all-you-need-to-know/,0,0,0.00,0.25,53500000,"[64,64,50,28,78,78,78,64,50,78,35,28]",2026-01-29,"Image pack, Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic
male trt center,49,49,40,7,0.00,https://proactivwellnesscenters.com/trt/arlington/,0,0,0.00,0,529000,"[7,100,7,7,7,7,7,7,7,7,7,0]",2026-01-29,"Local pack, Video, People also ask",commercial,Organic
treatment for mthfr,18,18,90,42,0.53,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.45,2710000,"[11,18,11,18,6,8,11,18,18,18,11,15]",2026-02-04,"Sitelinks, Video, Image, People also ask, Related searches, Things to know, Discussions and forums, AI overview",informational,Organic
360 wellness altoona,54,54,70,29,5.45,https://proactivwellnesscenters.com/medical-weight-loss/altoona/,0,0,0.00,0.04,56700,"[100,35,21,35,35,35,28,35,35,64,50,64]",2026-01-26,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
sot treatment for cancer,70,70,40,0,0.00,https://proactivwellnesscenters.com/hormone-replacement/supportive-oligonucleotide-therapy-sot/,0,0,0.00,0,1390000,"[82,64,0,23,29,23,17,0,5,29,17,17]",2025-12-06,"Image, Ads bottom, Related searches, AI overview",informational,Organic
weight loss fairfax,21,21,70,14,5.54,https://proactivwellnesscenters.com/medical-weight-loss/fairfax/,0,0,0.00,0.65,3240000,"[64,100,11,11,11,64,29,41,64,52,23,11]",2025-12-29,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
weight loss fairfax,66,66,70,14,5.54,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/fairfax/,0,0,0.00,0.65,3240000,"[64,100,11,11,11,64,29,41,64,52,23,11]",2025-12-29,"Local pack, Sitelinks, Video, Related searches",commercial,Organic
weight loss in morgantown wv,14,14,70,11,11.17,https://proactivwellnesscenters.com/medical-weight-loss/morgantown/,0,0,0.00,0.61,526000,"[35,50,35,64,50,50,35,35,35,50,35,35]",2026-01-27,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
weight loss in morgantown wv,33,33,70,11,11.17,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/morgantown/,0,0,0.00,0.61,526000,"[35,50,35,64,50,50,35,35,35,50,35,35]",2026-01-27,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
weight loss in morgantown wv,97,97,70,11,11.17,https://proactivwellnesscenters.com/medical-weight-loss/charles-town/,0,0,0.00,0.61,526000,"[35,50,35,64,50,50,35,35,35,50,35,35]",2026-01-27,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
benefits of fruit in diet,87,87,70,76,0.12,https://proactivwellnesscenters.com/fruits-and-their-surprising-benefits/,0,0,0.00,0.04,158000000,"[0,0,0,42,52,100,100,42,0,0,0,0]",2026-01-29,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
mold inflammation,90,90,40,41,0.38,https://proactivwellnesscenters.com/mold-illness-all-you-need-to-know/,0,0,0.00,0.09,41000000,"[28,28,42,71,71,71,57,57,71,100,100,28]",2025-12-25,"Image pack, Sitelinks, Image, Related searches, AI overview",informational,Organic
pwc cell phone policy,23,23,50,6,0.00,https://proactivwellnesscenters.com/pwc-max-weight-loss-program/gaithersburg/,0,0,0.00,0,557000,"[7,42,7,7,7,7,7,7,42,53,34,19]",2026-01-11,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
femiwave,25,25,140,1,0.00,https://proactivwellnesscenters.com/hormone-replacement/northern-virginia-femiwave-treatment-for-female-sexual-enhancement/,0,0,0.00,0.01,6050,"[43,53,43,43,43,53,43,34,43,53,53,34]",2025-12-25,"Knowledge panel, Image pack, Video, Image, People also ask, Related searches, AI overview",informational,Organic
prescription weight loss clinic pa,85,85,50,14,0.00,https://proactivwellnesscenters.com/medical-weight-loss/york/,0,0,0.00,0,55900000,"[0,0,1,1,1,1,1,1,3,3,3,2]",2026-01-02,"Local pack, Sitelinks, Video, Image, Related searches, AI overview",commercial,Organic
treatment for mthfr mutation,14,14,110,27,0.48,https://proactivwellnesscenters.com/hormone-replacement/mthfr-implications-and-treatment/,0,0,0.00,0.25,1790000,"[66,100,81,0,6,0,8,10,4,0,6,2]",2025-12-22,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
mthfr and thyroid,91,91,90,9,0.00,https://proactivwellnesscenters.com/hormone-replacement/northern-virginia-bredesen-protocol-strategies-to-improve-brain-health-and-reverse-cognitive-decline-resulting-from-alzheimers/,0,0,0.00,0.03,1240000,"[50,35,50,50,64,64,64,64,64,78,64,64]",2025-12-18,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
